permutation,seed,vmse
109,404,3.659152079116138
109,505,4.050577955232363
110,101,2.286757298341166
110,202,2.976280159318941
110,303,2.784306264195509
110,404,2.15739078134762
110,505,1.8473395314460792
111,101,3.6693881172875553
111,202,2.8485462388214646
111,303,2.6799480189119698
111,404,2.5632255667003876
111,505,2.987685336418056
112,101,4.191319363768831
112,202,4.191631291438245
112,303,4.462528489851664
112,404,3.1870712188700687
112,505,3.867971453440971
113,101,2.878751303035047
113,202,2.942028989638404
113,303,2.828137403658461
113,404,2.3353284347934253
113,505,3.397932051727972
114,101,2.083970854435139
114,202,1.425723377576509
114,303,1.78264739966551
114,404,1.6487699325287675
114,505,1.7498777004834447
115,101,1.8910551380545384
115,202,1.8963303655833934
115,303,1.9009613868090538
115,404,1.7877314294224012
115,505,1.9365160588196144
116,101,2.4370633905287393
116,202,2.733165526309181
116,303,2.6574198945977154
116,404,2.417037005587476
116,505,2.9036307570652387
117,101,1.8716923827608842
117,202,2.095278088639371
117,303,2.7578379708251743
117,404,1.943207703933053
117,505,1.8744292383648253
118,101,2.561635506155963
118,202,2.205837790048685
118,303,2.4390391548396075
118,404,2.6135954306493145
118,505,2.6561654763480456
119,101,2.720440191580658
119,202,3.1257151084379977
119,303,3.2349057288522114
119,404,3.08537570444304
119,505,2.605978068935423
120,101,2.4282869682744606
120,202,3.1298155247873254
120,303,2.778635752495298
120,404,2.44023427817484
120,505,2.5483107348913197
121,101,4.044249351456228
121,202,3.47154553017325
121,303,3.090907736045095
121,404,3.048027529440282
121,505,2.7505134936436355
122,101,2.21780771057089
122,202,2.2231648567547944
122,303,2.295645865928595
122,404,1.8420768490760442
122,505,2.175159446633452
123,101,2.694944983393099
123,202,2.948846285305701
123,303,3.1248494010599623
123,404,3.3708789005286213
123,505,2.2284920010886475
124,101,3.4956992179737525
124,202,3.2534248337069007
124,303,4.646638419280233
124,404,2.3579891159187207
124,505,3.793248356605994
125,101,3.5231421968216594
125,202,4.526094571607209
125,303,2.882279052941424
125,404,2.8599871663999514
125,505,3.3091246752984036
126,101,1.1162189168534158
126,202,1.5917914412622052
126,303,1.6950300817307675
126,404,1.3494126022297106
126,505,1.3042816762756315
127,101,2.9840876707428676
127,202,2.300380667809211
127,303,3.2861562876890447
127,404,1.9238449258048458
127,505,2.4607274083582835
128,101,1.382252787575936
128,202,1.6785988551073086
128,303,1.798358995798991
128,404,1.5359169201670277
128,505,1.5061101765635394
129,101,3.1451370926339504
129,202,3.1825370003211204
129,303,3.0467444014914355
129,404,2.9404966650292375
129,505,2.46515974445893
130,101,3.8641194978480993
130,202,4.150156835781131
130,303,2.9856701998256643
130,404,3.478484274489333
130,505,4.62959084695231
131,101,3.0021130527426263
131,202,2.5250994477897595
131,303,3.0205930227330153
131,404,2.5481373546801906
131,505,2.0725525196727514
132,101,1.909690839455939
132,202,2.5191398321026135
132,303,2.4686247767589813
132,404,2.358268482903235
132,505,2.5082832616819943
133,101,2.4946066859075664
133,202,2.8615594193472034
133,303,2.796082157042927
133,404,2.5993435117759836
133,505,2.689748932295763
134,101,2.4476046821954585
134,202,2.3097309074774306
134,303,2.772157861114855
134,404,2.5342030728381455
134,505,2.7008061577118094
135,101,1.9195981408355631
135,202,2.513071797128458
135,303,1.7481382010564668
135,404,2.109029429901463
135,505,2.0020300807018367
136,101,2.374396237838942
136,202,2.851472000604096
136,303,2.0572627367423575
136,404,2.1104846672481146
136,505,2.5699162313465727
137,101,5.251398645633626
137,202,5.224365467448992
137,303,6.121083951580882
137,404,4.750448982055719
137,505,3.529342329628743
138,101,2.725681900454362
138,202,3.1090823698658827
138,303,2.0943188736307694
138,404,2.35324205537548
138,505,3.1795556300415453
139,101,3.250067000944776
139,202,3.601654347630149
139,303,2.8952015074365516
139,404,2.2308697274648392
139,505,2.827287378866554
140,101,2.516448686541051
140,202,2.4627443431739504
140,303,2.264142567718157
140,404,2.432265934820835
140,505,2.9925133704782247
141,101,3.2226044062246353
141,202,3.087815688014757
141,303,2.779794851895406
141,404,3.058760902733036
141,505,3.9981585724629394
142,101,2.354170023575339
142,202,2.117627940160798
142,303,2.3594413727791665
142,404,2.18781952300977
142,505,2.3273072737121505
143,101,4.673029617508566
143,202,4.455694423481148
143,303,4.280165728732193
143,404,4.064241060508756
143,505,4.696940606100878
144,101,2.3280760638384854
144,202,2.5578030869646633
144,303,2.0836367050618163
144,404,1.9018742333120562
144,505,2.8517604727898234
145,101,2.3951460997820044
145,202,2.7060217120860472
145,303,2.1278357506667147
145,404,2.0766556904383684
145,505,1.9951808852756057
146,101,3.6487067629854044
146,202,3.408833148078834
146,303,3.702664942722266
146,404,2.517503914317855
146,505,1.8877505792781808
147,101,1.8462333830340145
147,202,1.885710284137498
147,303,2.1633180775923266
147,404,1.372544236980449
147,505,2.0778865051916933
148,101,4.1700389054369715
148,202,4.0442834103833745
148,303,4.3398137395697844
148,404,3.3570262907919055
148,505,3.629856893861065
149,101,3.903051011561387
149,202,2.8423718174123462
149,303,2.873555439412909
149,404,2.1523069497565146
149,505,2.225533267496331
150,101,2.662654603012042
150,202,2.626384643310477
150,303,2.550576590650386
150,404,2.582316413618769
150,505,3.2125178448313125
151,101,3.8723066690348174
151,202,3.5723265072754447
151,303,4.174205678979098
151,404,3.224949594895112
151,505,3.806448613546137
152,101,2.081515022965545
152,202,1.800500545950085
152,303,1.4647796635579653
152,404,1.5993137733659901
152,505,1.694964443244241
153,101,2.897228345902651
153,202,3.3634859788579217
153,303,3.641348340413158
153,404,2.8467825577516073
153,505,2.936545760179505
154,101,1.6485587378796343
154,202,1.9483221463913876
154,303,1.605919794122987
154,404,1.953613013982637
154,505,1.5275328153094452
155,101,3.9053801218902953
155,202,4.159988576897213
155,303,5.197703707393288
155,404,3.238024372260071
155,505,3.7327341799406506
156,101,3.8618694297189244
156,202,2.962663138566766
156,303,3.6673699714989536
156,404,3.339146478283082
156,505,3.20654429295652
157,101,2.6220356169101873
157,202,2.891652490666145
157,303,3.1428922226713256
157,404,2.3737278246072147
157,505,2.49318108360588
158,101,2.920223641896457
158,202,3.1137081597726155
158,303,2.65777927261968
158,404,2.963508463685379
158,505,3.2534597612906295
159,101,4.427450865667461
159,202,3.721320211589946
159,303,3.9011070621487596
159,404,3.240680177824617
159,505,3.525098259437838
160,101,3.0286914032688212
160,202,3.2899474202234775
160,303,2.534636776233123
160,404,2.8091061061544482
160,505,2.3406437088160894
161,101,4.647397859465294
161,202,4.038061478220619
161,303,3.8596541143121814
161,404,3.5603581892775793
161,505,4.172214902207755
162,101,2.0480422000165497
162,202,2.3609601495411536
162,303,2.9535011879565025
162,404,2.2125758416766175
162,505,2.026977777644545
163,101,3.624239547655428
163,202,3.529924886449623
163,303,3.5354625192748177
163,404,2.9389955505342
163,505,3.712867025087462
164,101,3.124359921352754
164,202,2.9501090014753886
164,303,3.4348456927986275
164,404,2.9180129673930932
164,505,3.032513622245714
165,101,4.3610440923702765
165,202,4.878835948944267
165,303,4.201265102561505
165,404,3.747102577037811
165,505,5.008892008783288
166,101,1.0205664375395314
166,202,1.0637840844811224
166,303,1.2556613256542246
166,404,1.1605073642920516
166,505,1.1114645541723915
167,101,3.3908313162686436
167,202,3.5163355506159037
167,303,3.270993778903554
167,404,2.679525307645904
167,505,2.7860383518646112
168,101,2.115531815721181
168,202,1.670666047663307
168,303,2.008449224409019
168,404,1.6898495578408403
168,505,1.5873121261398646
169,101,2.7408590969679967
169,202,2.596596068707946
169,303,3.2154885313244232
169,404,2.182767311516719
169,505,2.9185134744478685
170,101,2.6997379814894193
170,202,2.5896183227712566
170,303,2.4970217080737886
170,404,2.4625018066609
170,505,2.861480960418191
171,101,4.51138027399072
171,202,4.451115440910731
171,303,3.648142235425228
171,404,3.8642423323884025
171,505,4.273143302944276
172,101,1.4849575172067417
172,202,1.6574314612776246
172,303,1.609568435815542
172,404,1.8976347351428469
172,505,1.3929878420836805
173,101,2.8944688844962463
173,202,2.669720591504976
173,303,4.167761107363179
173,404,3.031094442530831
173,505,2.5981165521935434
174,101,3.313847076992028
174,202,4.494455222667008
174,303,3.0649045953793475
174,404,3.0974907799013858
174,505,3.214359081961514
175,101,1.5666348166199318
175,202,1.5195351135600292
175,303,1.5090906804657904
175,404,1.4186527236096598
175,505,1.637372518226964
176,101,1.6740695497981746
176,202,1.7279556240765472
176,303,1.9488290521523948
176,404,1.6442471215461245
176,505,1.5460722005233907
177,101,2.5578237496321314
177,202,2.8581012735248077
177,303,2.628375792520534
177,404,2.935554423700567
177,505,2.4849488884781863
178,101,2.931052592144543
178,202,3.6065327403478022
178,303,3.4164153693053834
178,404,3.5569148978864007
178,505,3.6260135420643635
179,101,4.104671127744461
179,202,3.319202719241483
179,303,5.4824262238077965
179,404,3.8169447251381268
179,505,4.540816189871891
180,101,2.3387867762967254
180,202,2.380045439470831
