permutation,vmse,vmse_std_across_seeds,n_seeds
305,2.824547816315968,0.23421957575806523,5
306,4.456337645076113,1.0966136358313803,5
307,4.15401259103916,0.7476550910314015,5
308,3.3777858464131585,0.9995220592264752,5
309,4.421812499216801,0.868083843296827,5
310,2.847280518835551,0.28132520390246546,5
311,2.964539008017315,0.21708709389784997,5
312,5.116227245594308,0.8133948828453753,5
313,2.552694024468328,0.21885877438062262,5
314,2.646303256583098,0.25365911712476874,5
315,3.23520638448405,0.49296006171513407,5
316,2.171323269817349,0.4463893092583248,5
317,4.045060228351414,0.7797368598287509,5
318,3.048939746346702,0.47385001085696354,5
319,2.128606210341108,0.1012692406209129,5
320,3.517638474271591,0.8405190139820929,5
321,1.681162755851351,0.0921970575916712,5
322,3.3746836672607885,0.5284709874009288,5
323,1.4739528049835133,0.07320273047106123,5
324,2.046168974265007,0.38820868586127194,5
325,2.30533546102401,0.21134141048590338,5
326,3.661938722260177,0.4360133916060309,5
327,3.343173330492543,0.582553227171775,5
328,5.1068741219518525,0.81221519030274,5
329,3.062797798246759,0.3521964676787695,5
330,5.326885772217766,1.1481994251376686,5
331,2.651959110765392,0.24649578463199084,5
332,2.1208192493500517,0.15119908007134109,5
333,3.3309915244247086,0.3835278003440488,5
334,1.8232237288805124,0.20582640704163918,5
335,1.3772939609172445,0.1796417085724808,5
336,4.974567768568721,0.5245838171594188,5
337,1.7573616374036853,0.24646262034142105,5
338,2.602859485517034,0.18805267794521743,5
339,4.240321768898534,0.5497225708886233,5
340,3.862889313643886,0.27806259155814206,5
341,4.4576148649165654,0.6988473361805495,5
342,2.2051533499623597,0.26375654713946683,5
343,2.2389390455594995,0.7781057147652511,5
344,3.7351582951992035,0.45476323098474625,5
345,4.9409496094894845,0.6401778976926406,5
346,2.164854679446164,0.22928609488368043,5
347,4.409809713592063,1.0047745846177443,5
348,2.836951915358779,0.3027616691813669,5
349,1.249220289052082,0.1588316224662875,5
350,2.97978346258413,0.2519273703677297,5
351,2.546669133923035,0.29406604219737953,5
