seed,fold,sample_id,cohort,feature,target,shap_value,abs_shap_value
101,4,HC-LAR-1,HC,mmu-miR-17-5p,mmu-let-7c-5p,-0.8409551356983385,0.8409551356983385
101,4,HC-LAR-1,HC,mmu-miR-17-5p,mmu-let-7a-5p,-0.8715051817950255,0.8715051817950255
101,4,HC-LAR-1,HC,mmu-miR-17-5p,mmu-let-7b-5p,-0.38395237267419974,0.38395237267419974
101,4,HC-LAR-1,HC,mmu-miR-17-5p,mmu-miR-26a-5p,-1.1229914361562503,1.1229914361562503
101,4,HC-LAR-1,HC,mmu-miR-18a-5p,mmu-miR-124-3p,-0.8271070164174189,0.8271070164174189
101,4,HC-LAR-1,HC,mmu-miR-18a-5p,mmu-let-7c-5p,0.34122929273659497,0.34122929273659497
101,4,HC-LAR-1,HC,mmu-miR-18a-5p,mmu-let-7a-5p,0.5157174571514287,0.5157174571514287
101,4,HC-LAR-1,HC,mmu-miR-18a-5p,mmu-let-7b-5p,0.43290021161907755,0.43290021161907755
101,4,HC-LAR-1,HC,mmu-miR-18a-5p,mmu-miR-26a-5p,0.3625935739304018,0.3625935739304018
101,4,HC-LAR-1,HC,mmu-miR-19a-5p,mmu-miR-124-3p,0.6460791607919117,0.6460791607919117
101,4,HC-LAR-1,HC,mmu-miR-19a-5p,mmu-let-7c-5p,-0.3053810151004654,0.3053810151004654
101,4,HC-LAR-1,HC,mmu-miR-19a-5p,mmu-let-7a-5p,-0.43128210044621174,0.43128210044621174
101,4,HC-LAR-1,HC,mmu-miR-19a-5p,mmu-let-7b-5p,-0.29293409830740225,0.29293409830740225
101,4,HC-LAR-1,HC,mmu-miR-19a-5p,mmu-miR-26a-5p,-0.4159275538278356,0.4159275538278356
101,4,HC-LAR-1,HC,mmu-miR-20a-5p,mmu-miR-124-3p,0.12499883025963443,0.12499883025963443
101,4,HC-LAR-1,HC,mmu-miR-20a-5p,mmu-let-7c-5p,0.47533966479471346,0.47533966479471346
101,4,HC-LAR-1,HC,mmu-miR-20a-5p,mmu-let-7a-5p,0.508362871205706,0.508362871205706
101,4,HC-LAR-1,HC,mmu-miR-20a-5p,mmu-let-7b-5p,0.2812697668096613,0.2812697668096613
101,4,HC-LAR-1,HC,mmu-miR-20a-5p,mmu-miR-26a-5p,0.7948721087896654,0.7948721087896654
101,4,HC-LAR-1,HC,mmu-miR-92a-1-5p,mmu-miR-124-3p,0.23736027606549523,0.23736027606549523
101,4,HC-LAR-1,HC,mmu-miR-92a-1-5p,mmu-let-7c-5p,0.013664946940662004,0.013664946940662004
101,4,HC-LAR-1,HC,mmu-miR-92a-1-5p,mmu-let-7a-5p,-0.10462862545585565,0.10462862545585565
101,4,HC-LAR-1,HC,mmu-miR-92a-1-5p,mmu-let-7b-5p,-0.017055846302052202,0.017055846302052202
101,4,HC-LAR-1,HC,mmu-miR-92a-1-5p,mmu-miR-26a-5p,-0.09331109454797132,0.09331109454797132
101,5,HC-LAR-13,HC,mmu-miR-122-5p,mmu-miR-124-3p,-0.19188438948234163,0.19188438948234163
101,5,HC-LAR-13,HC,mmu-miR-122-5p,mmu-let-7c-5p,0.03557057758274207,0.03557057758274207
101,5,HC-LAR-13,HC,mmu-miR-122-5p,mmu-miR-26a-5p,0.07121986525598908,0.07121986525598908
101,5,HC-LAR-13,HC,mmu-miR-122-5p,mmu-let-7a-5p,0.06431878883668106,0.06431878883668106
101,5,HC-LAR-13,HC,mmu-miR-122-5p,mmu-let-7b-5p,0.0649731916403652,0.0649731916403652
101,5,HC-LAR-13,HC,mmu-miR-17-5p,mmu-miR-124-3p,-0.580116238942719,0.580116238942719
101,5,HC-LAR-13,HC,mmu-miR-17-5p,mmu-let-7c-5p,-0.6992857715750387,0.6992857715750387
101,5,HC-LAR-13,HC,mmu-miR-17-5p,mmu-miR-26a-5p,-0.7873383270169143,0.7873383270169143
101,5,HC-LAR-13,HC,mmu-miR-17-5p,mmu-let-7a-5p,-0.7949744050068452,0.7949744050068452
101,5,HC-LAR-13,HC,mmu-miR-17-5p,mmu-let-7b-5p,-0.7247796692186513,0.7247796692186513
101,5,HC-LAR-13,HC,mmu-miR-18a-5p,mmu-miR-124-3p,-0.17093078298639738,0.17093078298639738
101,5,HC-LAR-13,HC,mmu-miR-18a-5p,mmu-let-7c-5p,0.22971943208976883,0.22971943208976883
101,5,HC-LAR-13,HC,mmu-miR-18a-5p,mmu-miR-26a-5p,0.03882954294870907,0.03882954294870907
101,5,HC-LAR-13,HC,mmu-miR-18a-5p,mmu-let-7a-5p,0.20891091844193105,0.20891091844193105
101,5,HC-LAR-13,HC,mmu-miR-18a-5p,mmu-let-7b-5p,0.2771267364034884,0.2771267364034884
101,5,HC-LAR-13,HC,mmu-miR-19a-5p,mmu-miR-124-3p,0.2064025774539915,0.2064025774539915
101,5,HC-LAR-13,HC,mmu-miR-19a-5p,mmu-let-7c-5p,-0.03645619257319277,0.03645619257319277
101,5,HC-LAR-13,HC,mmu-miR-19a-5p,mmu-miR-26a-5p,0.0003105884398489356,0.0003105884398489356
101,5,HC-LAR-13,HC,mmu-miR-19a-5p,mmu-let-7a-5p,-0.04407882055917678,0.04407882055917678
101,5,HC-LAR-13,HC,mmu-miR-19a-5p,mmu-let-7b-5p,-0.04486285125890377,0.04486285125890377
101,5,HC-LAR-13,HC,mmu-miR-20a-5p,mmu-miR-124-3p,-0.011158981181506378,0.011158981181506378
101,5,HC-LAR-13,HC,mmu-miR-20a-5p,mmu-let-7c-5p,0.11051340870544663,0.11051340870544663
101,5,HC-LAR-13,HC,mmu-miR-20a-5p,mmu-miR-26a-5p,0.17105475278221996,0.17105475278221996
101,5,HC-LAR-13,HC,mmu-miR-20a-5p,mmu-let-7a-5p,0.16562589676589895,0.16562589676589895
101,5,HC-LAR-13,HC,mmu-miR-20a-5p,mmu-let-7b-5p,0.11802440125990551,0.11802440125990551
101,5,HC-LAR-13,HC,mmu-miR-92a-1-5p,mmu-miR-124-3p,-0.040394896259628506,0.040394896259628506
101,5,HC-LAR-13,HC,mmu-miR-92a-1-5p,mmu-let-7c-5p,0.7173330268480642,0.7173330268480642
101,5,HC-LAR-13,HC,mmu-miR-92a-1-5p,mmu-miR-26a-5p,0.955889699055115,0.955889699055115
101,5,HC-LAR-13,HC,mmu-miR-92a-1-5p,mmu-let-7a-5p,0.6868432779730939,0.6868432779730939
101,5,HC-LAR-13,HC,mmu-miR-92a-1-5p,mmu-let-7b-5p,0.6911182865985971,0.6911182865985971
101,6,HC-LAR-5,HC,mmu-miR-122-5p,mmu-miR-124-3p,-0.2890110753144598,0.2890110753144598
101,6,HC-LAR-5,HC,mmu-miR-122-5p,mmu-let-7c-5p,0.2842125113810957,0.2842125113810957
101,6,HC-LAR-5,HC,mmu-miR-122-5p,mmu-miR-26a-5p,0.04740536878137691,0.04740536878137691
101,6,HC-LAR-5,HC,mmu-miR-122-5p,mmu-let-7a-5p,0.22548514523853871,0.22548514523853871
101,6,HC-LAR-5,HC,mmu-miR-122-5p,mmu-miR-181a-5p,-0.07020993071952643,0.07020993071952643
101,6,HC-LAR-5,HC,mmu-miR-17-5p,mmu-miR-124-3p,0.05301467988390212,0.05301467988390212
101,6,HC-LAR-5,HC,mmu-miR-17-5p,mmu-let-7c-5p,0.629419921118824,0.629419921118824
101,6,HC-LAR-5,HC,mmu-miR-17-5p,mmu-miR-26a-5p,0.6605527886044001,0.6605527886044001
101,6,HC-LAR-5,HC,mmu-miR-17-5p,mmu-let-7a-5p,0.6098568158146614,0.6098568158146614
101,6,HC-LAR-5,HC,mmu-miR-17-5p,mmu-miR-181a-5p,0.4600135199524327,0.4600135199524327
101,6,HC-LAR-5,HC,mmu-miR-18a-5p,mmu-miR-124-3p,0.49147775637640806,0.49147775637640806
101,6,HC-LAR-5,HC,mmu-miR-18a-5p,mmu-let-7c-5p,-0.04140231249136073,0.04140231249136073
101,6,HC-LAR-5,HC,mmu-miR-18a-5p,mmu-miR-26a-5p,-0.09683401900401803,0.09683401900401803
101,6,HC-LAR-5,HC,mmu-miR-18a-5p,mmu-let-7a-5p,-0.08747277202007042,0.08747277202007042
101,6,HC-LAR-5,HC,mmu-miR-18a-5p,mmu-miR-181a-5p,-0.23611546554869475,0.23611546554869475
101,6,HC-LAR-5,HC,mmu-miR-19a-5p,mmu-miR-124-3p,-0.011763482608536657,0.011763482608536657
101,6,HC-LAR-5,HC,mmu-miR-19a-5p,mmu-let-7c-5p,0.13060611598145133,0.13060611598145133
101,6,HC-LAR-5,HC,mmu-miR-19a-5p,mmu-miR-26a-5p,0.18019960262463428,0.18019960262463428
101,6,HC-LAR-5,HC,mmu-miR-19a-5p,mmu-let-7a-5p,0.1345001699131292,0.1345001699131292
101,6,HC-LAR-5,HC,mmu-miR-19a-5p,mmu-miR-181a-5p,0.025102194412950973,0.025102194412950973
101,6,HC-LAR-5,HC,mmu-miR-20a-5p,mmu-miR-124-3p,0.5499656500238778,0.5499656500238778
101,6,HC-LAR-5,HC,mmu-miR-20a-5p,mmu-let-7c-5p,-0.19333928131624506,0.19333928131624506
101,6,HC-LAR-5,HC,mmu-miR-20a-5p,mmu-miR-26a-5p,0.05259988050480994,0.05259988050480994
101,6,HC-LAR-5,HC,mmu-miR-20a-5p,mmu-let-7a-5p,-0.19170169813248025,0.19170169813248025
101,6,HC-LAR-5,HC,mmu-miR-20a-5p,mmu-miR-181a-5p,-0.34332938773998956,0.34332938773998956
101,6,HC-LAR-5,HC,mmu-miR-92a-1-5p,mmu-miR-124-3p,-0.08409373967098198,0.08409373967098198
101,6,HC-LAR-5,HC,mmu-miR-92a-1-5p,mmu-let-7c-5p,-0.165856313550709,0.165856313550709
101,6,HC-LAR-5,HC,mmu-miR-92a-1-5p,mmu-miR-26a-5p,-0.16933902416203642,0.16933902416203642
101,6,HC-LAR-5,HC,mmu-miR-92a-1-5p,mmu-let-7a-5p,-0.16138502480462194,0.16138502480462194
101,6,HC-LAR-5,HC,mmu-miR-92a-1-5p,mmu-miR-181a-5p,-0.1363844752707033,0.1363844752707033
101,7,VC-LAR-1,VC,mmu-miR-122-5p,mmu-miR-124-3p,-0.4089875377576392,0.4089875377576392
